property,synsetId,synsetName,mean,normVar,n,minValue,maxValue
Height,n03221720,door,2.24,0.86,2.0,1.282916708,3.205416769
Height,n02954340,cap,0.38,0.0,1.0,0.375000012,0.375000012
Height,n03442756,goal,0.75,1.78,7.0,0.125000004,0.337500011
Height,n03710193,mailbox,0.93,0.54,9.0,0.645833354,1.319166709
Height,n02933462,cabinet,2.04,0.61,3.0,1.304166708,2.833333424
Height,n02933990,cable,0.14,1.0,10.0,0.037500001,0.166666672
Height,n03467517,guitar,0.89,0.79,2.0,0.536458351,1.23437504
Height,n03484083,handcart,0.8,0.96,8.0,0.225000007,1.510416715
Height,n03183080,device,0.61,0.0,1.0,0.608333353,0.608333353
Height,n03488188,handsaw,0.26,0.83,7.0,0.083333336,0.468750015
Height,n03249569,drum,0.78,0.46,21.0,0.583333352,1.166666704
Height,n03158885,dagger,0.24,1.55,14.0,0.083333336,0.120833337
Height,n03014705,chest,1.81,0.32,4.0,1.395833378,2.059166733
Height,n04550184,wardrobe,4.88,0.28,11.0,5.125000164,5.683333515
Height,n02908217,brush,0.18,0.57,16.0,0.120833337,0.247916675
Height,n04571292,weight,0.41,0.39,4.0,0.281250009,0.504166683
Height,n03954731,plane,0.16,0.39,2.0,0.132291671,0.196875006
Height,n04161981,seat,1.24,0.61,3.0,0.958333364,1.77083339
Height,n04453666,top,0.08,0.06,6.0,0.083333336,0.083333336
Height,n04288272,spring,0.09,0.47,5.0,0.098333336,0.115000004
Height,n04346511,stylus,0.03,0.47,16.0,0.023958334,0.043750001
Height,n03938244,pillow,0.54,0.69,22.0,0.270833342,0.72916669
Height,n03955296,plane,0.35,0.3,2.0,0.293333343,0.396666679
Height,n04381073,tablespoon,0.17,1.31,5.0,0.046333335,0.083333336
Height,n02976939,cashbox,0.51,0.56,13.0,0.308333343,0.71666669
Height,n04603729,worktable,1.6,0.58,8.0,0.802083359,2.462500079
Height,n03145522,cue,0.52,1.59,8.0,0.119791671,0.406250013
Height,n03682487,lock,0.22,0.7,12.0,0.076666669,0.333333344
Height,n04072193,regulator,0.38,0.63,15.0,0.231250007,0.500000016
Height,n04149083,scoop,0.25,0.89,15.0,0.133333338,0.270833342
Height,n04576002,wheelchair,2.11,0.67,5.0,0.500000016,3.000000096
Height,n03820154,net,0.07,0.0,1.0,0.066666669,0.066666669
Height,n04318131,stick,0.11,0.18,4.0,0.094583336,0.115000004
Height,n03797390,mug,0.42,0.46,4.0,0.302083343,0.437500014
Height,n03532919,hook,0.4,0.44,5.0,0.20833334,0.531666684
Height,n03244047,driver,2.6,0.8,11.0,0.375000012,4.500000144
Height,n02785648,bandage,0.25,0.39,15.0,0.179166672,0.330000011
Height,n03665366,light,0.11,0.65,12.0,0.056250002,0.169375005
Height,n03114236,costume,0.83,0.53,14.0,0.468750015,1.166666704
Height,n04067658,reel,0.5,0.52,7.0,0.31250001,0.583333352
Height,n02801938,basket,1.94,0.05,6.0,1.854166726,2.000000064
Height,n03652932,leash,0.54,2.61,16.0,0.083333336,0.317708344
Height,n03337140,file,0.75,0.54,3.0,0.525000017,1.010416699
Height,n03250279,drumhead,0.25,1.7,8.0,0.083333336,0.093750003
Height,n02975589,case,0.05,0.0,1.0,0.054166668,0.054166668
Height,n03819994,net,0.46,0.13,3.0,0.437500014,0.500000016
Height,n04154340,screw,0.24,0.86,10.0,0.083333336,0.475000015
Height,n03820318,net,0.05,0.0,1.0,0.050000002,0.050000002
Height,n03513376,helmet,0.69,0.32,21.0,0.53333335,0.883333362
Height,n04004767,printer,1.0,0.34,6.0,0.837500027,1.141666703
Height,n03753077,meter,0.41,0.67,5.0,0.266666675,0.333333344
Height,n03945615,pipe,0.08,0.46,11.0,0.058333335,0.11041667
Height,n04555897,watch,0.14,0.66,8.0,0.058958335,0.241666674
Height,n06591815,album,0.59,0.6,3.0,0.126666668,1.057916669
Height,n03388043,fountain,0.82,0.38,11.0,0.593750019,0.916666696
Height,n03700963,machine,0.79,0.52,16.0,0.400000013,0.991666698
Height,n03906997,pen,0.21,1.02,21.0,0.032500001,0.462500015
Height,n02879718,bow,0.73,1.27,10.0,0.200000006,0.52083335
Height,n04605446,wrap,0.39,1.2,8.0,0.11041667,0.372916679
Height,n04476259,tray,0.24,1.33,20.0,0.061458335,0.229166674
Height,n03236735,dress,0.1,1.77,13.0,0.032500001,0.065833335
Height,n04286575,spotlight,2.11,1.06,10.0,0.583333352,3.354166774
Height,n02817031,bearing,0.15,1.15,13.0,0.050000002,0.141666671
Height,n04500060,turner,0.54,0.77,14.0,0.122916671,0.977916698
Height,n02827606,belt,0.1,0.73,3.0,0.050000002,0.135416671
Height,n03378765,football,0.76,0.99,4.0,0.270833342,0.955208364
Height,n03658858,level,0.36,1.37,16.0,0.091458336,0.400000013
Height,n03531546,hood,0.88,0.0,1.0,0.875000028,0.875000028
Height,n04026417,purse,0.55,0.6,14.0,0.225000007,0.880208362
Height,n04125116,safe,1.04,0.54,6.0,0.555208351,1.474166714
Height,n03626115,knob,0.39,0.77,5.0,0.041666668,0.573333352
Height,n03068998,collar,0.27,1.37,4.0,0.049791668,0.285416676
Height,n04533946,videodisk,0.02,0.0,1.0,0.019166667,0.019166667
Height,n02909053,bubble,0.41,0.72,10.0,0.218750007,0.659375021
Height,n03816136,needle,0.27,0.69,5.0,0.062500002,0.41666668
Height,n03219135,doll,0.03,0.0,1.0,0.033333334,0.033333334
Height,n03956785,planner,0.3,1.02,9.0,0.033333334,0.666666688
Height,n03666591,lighter,0.22,1.01,13.0,0.09166667,0.270833342
Height,n02883344,box,0.33,0.28,4.0,0.270833342,0.388333346
Height,n03456299,grease-gun,0.56,0.81,14.0,0.227083341,1.043333367
Height,n04214649,sidelight,0.36,0.31,2.0,0.307291677,0.421875014
Height,n04192238,shelter,1.35,1.16,4.0,0.30625001,1.687500054
Height,n02828884,bench,2.93,0.69,3.0,0.791666692,3.802083391
