workerid,input_measurement,user_ranking,our_ranking,object_name,multiplier,multScore,multScore_w,normFam,normFam_w,normV,normV_w,totalScore,,,,,,,,,
AEHONA1BIY9JB,5,5,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
AEHONA1BIY9JB,5,6,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
AEHONA1BIY9JB,5,7,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
AEHONA1BIY9JB,5,8,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
A3UV55HC87DO9C,5,1,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
A3UV55HC87DO9C,5,2,5,kettle,2.7,0,0,0.465,2.325,0.39,0.78,3.105,,,,,,,,,
A3UV55HC87DO9C,5,3,3,pot,3,0,0,0.165,0.825,0.98,1.96,2.785,,,,,,,,,
A3UV55HC87DO9C,5,4,8,golf_bag,1.3,0,0,0.39,1.95,0.69,1.38,3.33,,,,,,,,,
A3UV55HC87DO9C,5,5,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
A3UV55HC87DO9C,5,6,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
A3UV55HC87DO9C,5,7,7,lantern,2.7,0,0,0.275,1.375,0.96,1.92,3.295,,,,,,,,,
A3UV55HC87DO9C,5,8,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
A1NP2XGDX58PSH,5,1,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
A1NP2XGDX58PSH,5,2,8,golf_bag,1.3,0,0,0.39,1.95,0.69,1.38,3.33,,,,,,,,,
A1NP2XGDX58PSH,5,3,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
A1NP2XGDX58PSH,5,4,5,kettle,2.7,0,0,0.465,2.325,0.39,0.78,3.105,,,,,,,,,
A1NP2XGDX58PSH,5,5,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
A1NP2XGDX58PSH,5,6,3,pot,3,0,0,0.165,0.825,0.98,1.96,2.785,,,,,,,,,
A1NP2XGDX58PSH,5,7,7,lantern,2.7,0,0,0.275,1.375,0.96,1.92,3.295,,,,,,,,,
A1NP2XGDX58PSH,5,8,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
A1ME089VLGOBBI,5,1,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
A1ME089VLGOBBI,5,2,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
A1ME089VLGOBBI,5,3,7,lantern,2.7,0,0,0.275,1.375,0.96,1.92,3.295,,,,,,,,,
A1ME089VLGOBBI,5,4,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
